Account ID,RefCustomer ID,Empresa
22,21,AposteSports
38,37,AvantiBet
6,6,Bet69
40,39,BetBr
10,10,BetFavorita
23,22,BetFourBet
24,23,BetPix
43,42,Bets12
30,29,BetSpeed
12,12,BET VITORIA
27,26,BlasterBet
34,33,BrasilSports
44,43,CassinoaoVivo
33,32,DGR
7,7,DollarBet
4,4,Esporte365
20,19,FronteiraBet
35,34,FullHouse
9,9,H5
42,41,MagooBet
21,20,MillionsBet
19,18,OuroBets
1,1,PAGFAST
31,30,Pitaco
2,2,Pix Luck
13,13,PLATAFORMA NGX
17,16,RECEBA.COM
8,8,Senna Sport
18,17,SortePix
39,38,SpinGames
32,31,ST SOFT
16,15,TimeDaSorte
37,36,VemdBet
41,40,VempraBet
36,35,Zbets
